电信,#genre#
CCTV-风云足球,rtp://239.33.4.89:20890
CCTV-风云足球,rtp://239.33.4.89:20890
CCTV-风云音乐,rtp://239.33.4.94:20940
CCTV-风云音乐,rtp://239.33.4.94:20940
CCTV-央视台球,rtp://239.33.4.126:21260
CCTV-央视台球,rtp://239.33.4.126:21260
CCTV-央视文化精品,rtp://239.33.4.95:20950
CCTV-央视文化精品,rtp://239.33.4.95:20950
CCTV-世界地理,rtp://239.33.4.91:20910
CCTV-世界地理,rtp://239.33.4.91:2091
CCTV-兵器科技,rtp://239.33.4.125:21250
CCTV-兵器科技,rtp://239.33.4.125:21250
CCTV-女性时尚,rtp://239.33.4.97:20970
CCTV-女性时尚,rtp://239.33.4.97:20970
CCTV-高尔夫网球,rtp://239.33.5.88:23440
CCTV-高尔夫网球,rtp://239.33.5.88:23440
茶频道,rtp://239.33.5.70:23260
茶频道,rtp://239.33.5.70:23260
city都市剧场,rtp://239.33.5.95:23510
city都市剧场,rtp://239.33.5.95:23510
法治天地,rtp://239.33.5.89:23450
法治天地,rtp://239.33.5.89:23450
金色学堂,rtp://239.33.5.90:23460
金色学堂,rtp://239.33.5.90:23460
动漫秀场,rtp://239.33.5.93:23490
动漫秀场,rtp://239.33.5.93:23490
游戏风云,rtp://239.33.5.92:23480
游戏风云,rtp://239.33.5.92:23480
乐游,rtp://239.33.5.96:23520
乐游,rtp://239.33.5.96:23520
生活时尚,rtp://239.33.5.91:23470
生活时尚,rtp://239.33.5.91:23470
CCTV16-4K,rtp://239.33.5.102:23580
CCTV-16 4K,rtp://239.33.5.102:23580
梨园频道,rtp://239.33.4.212:22120
梨园频道,rtp://239.33.4.212:22120
武术世界,rtp://239.33.4.213:22130
武术世界,rtp://239.33.4.213:22130
文物宝库,rtp://239.33.4.214:22140
文物宝库,rtp://239.33.4.214:22140
CGTN,rtp://239.33.5.43:22990
CGTN,rtp://239.33.5.43:22990
CGTN纪录,rtp://239.33.5.44:23000
CGTN纪录,rtp://239.33.5.44:23000
CGTN-俄语,rtp://239.33.4.228:22280
CGTN-俄语,rtp://239.33.4.228:22280
CGTN-西班牙语,rtp://239.33.4.225:22250
CGTN-西班牙语,rtp://239.33.4.225:22250
CGTN-阿拉伯语,rtp://239.33.4.227:22270
CGTN-阿拉伯语,rtp://239.33.4.227:22270
CGTN-法语,rtp://239.33.4.226:22260
CGTN-法语,rtp://239.33.4.226:22260
