CBN风尚生活,udp//:239.5.1.106:5000
CBN幸福剧场,udp//:239.5.1.107:5000
CBN幸福娱乐,udp//:239.5.1.108:5000
足球,udp//:239.5.1.113:5000
健康直通车,udp//:239.5.1.141:5000
爱心扶贫,udp//:239.5.1.132:5000
文艺广播,udp//:239.5.0.113:5000
经济广播,udp//:239.5.0.114:5000
新闻广播,udp//:239.5.0.115:5000
生活广播,udp//:239.5.0.116:5000
交通广播,udp//:239.5.0.117:5000
相声广播,udp//:239.5.0.118:5000
小说广播,udp//:239.5.0.119:5000
滨海广播,udp//:239.5.0.120:5000
音乐广播,udp//:239.5.0.121:5000
动听885,udp//:239.5.0.122:5000
CCTV-风云足球,udp//:239.5.1.119:5000
CCTV-高尔夫网球,udp//:239.5.1.120:5000
CCTV-第一剧场,udp//:239.5.1.121:5000
CCTV-怀旧剧场,udp//:239.5.1.122:5000
CCTV-风云剧场,udp//:239.5.1.123:5000
CCTV-世界地理,udp//:239.5.1.124:5000
CCTV-兵器科技,udp//:239.5.1.125:5000
CCTV-央视文化精品,udp//:239.5.1.126:5000
CCTV-女性时尚,udp//:239.5.1.127:5000
CCTV-风云音乐,udp//:239.5.1.128:5000
CCTV-电视指南,udp//:239.5.1.129:5000
CCTV-央视台球,udp//:239.5.1.130:5000
卫生健康,udp//:239.5.1.131:5000
体育赛事,udp//:239.5.1.133:5000
潮流音乐,udp//:239.5.1.90:5000
超清影视,udp//:239.5.1.33:5000
食全食美,udp//:239.5.1.49:5000
羽球精品赛事,udp//:239.5.1.66:5000
街舞地带,udp//:239.5.1.34:5000
超清乐享,udp//:239.5.1.142:5000
初三云课堂,udp//:239.5.0.133:5000
亲子游戏,udp//:239.5.0.143:5000
4K直播,udp//:239.5.1.136:5000
学而思直播课一年级,udp//:239.5.0.135:5000
学而思直播课二年级,udp//:239.5.0.136:5000
学而思直播课三年级,udp//:239.5.0.137:5000
学而思直播课四年级,udp//:239.5.0.138:5000
学而思直播课五年级,udp//:239.5.0.139:5000
学而思直播课六年级,udp//:239.5.0.140:5000
经典老片场,udp//:239.5.1.116:5000
经典重温,udp//:239.5.1.115:5000
快乐英语ABC,udp//:239.5.1.134:5000
801频道,udp//:239.5.0.123:5000
802频道,udp//:239.5.1.62:5000
IPTV足球,udp//:239.5.0.100:5000
赛事,udp//:239.5.1.48:5000
电信905,udp//:239.5.1.118:5000
电信908,udp//:239.5.1.117:5000
