直播室209,rtp//:239.252.219.218:5140
直播室210,rtp//:239.252.219.219:5140
直播室211,rtp//:239.252.219.220:5140
CGTN法语,rtp//:239.252.219.65:5140
CGTN阿拉伯语,rtp//:239.252.219.66:5140
CGTN俄语,rtp//:239.252.219.67:5140
CGTN,rtp//:239.252.220.150:5140
CETV-2教育教学,rtp//:239.252.219.73:5140
山东教育,rtp//:239.252.219.74:5140
厦门卫视,rtp//:239.252.219.75:5140
三沙卫视,rtp//:239.252.219.76:5140
CCTV-第一剧场,rtp//:239.252.219.86:5140
CCTV-风云音乐,rtp//:239.252.219.87:5140
CCTV-风云剧场,rtp//:239.252.219.89:5140
CCTV-怀旧剧场,rtp//:239.252.219.90:5140
CCTV-世界地理,rtp//:239.252.219.93:5140
CCTV-女性时尚,rtp//:239.252.219.94:5140
CCTV-高尔夫网球,rtp//:239.252.219.95:5140
CCTV-风云足球,rtp//:239.252.219.96:5140
CCTV-电视指南,rtp//:239.252.219.97:5140
CCTV-兵器科技,rtp//:239.252.219.98:5140
书画,rtp//:239.252.219.99:5140
新动漫,rtp//:239.252.220.132:5140
环球奇观,rtp//:239.252.220.135:5140
中华特产,rtp//:239.252.220.213:5140
四海钓鱼,rtp//:239.252.220.214:5140
车迷,rtp//:239.252.220.215:5140
生态环境,rtp//:239.252.220.216:5140
家庭理财,rtp//:239.252.220.217:5140
环球旅游,rtp//:239.252.220.218:5140
优优宝贝,rtp//:239.252.220.219:5140
中国天气,rtp//:239.252.219.143:5140
证券服务,rtp//:239.252.219.144:5140
百姓健康,rtp//:239.252.219.146:5140
天翼1,rtp//:239.252.220.225:5140
天翼2,rtp//:239.252.220.226:5140
天翼3,rtp//:239.252.220.227:5140
天翼4,rtp//:239.252.220.228:5140
天翼5,rtp//:239.252.220.229:5140
天翼6,rtp//:239.252.220.230:5140
天翼7,rtp//:239.252.220.231:5140
天翼8,rtp//:239.252.220.232:5140
天翼9,rtp//:239.252.220.233:5140
天翼10,rtp//:239.252.220.234:5140
天翼4K-15M,rtp//:239.252.220.236:5140
CCTV-3综艺,rtp//:239.252.220.193:5140
CCTV-5体育,rtp//:239.252.219.198:5140
CCTV-6电影,rtp//:239.252.220.195:5140
CCTV-8电视剧,rtp//:239.252.220.196:5140
芒果跨年(特写),rtp//:239.252.219.188:5140
芒果跨年云监工,rtp//:239.252.219.187:5140
少儿动画,rtp//:239.252.220.136:5140
魅力时尚,rtp//:239.252.220.137:5140
热播剧场,rtp//:239.252.220.138:5140
经典电影,rtp//:239.252.220.139:5140
爱综艺,rtp//:239.252.220.140:5140
爱体育,rtp//:239.252.220.141:5140
爱电影,rtp//:239.252.220.142:5140
爱大剧,rtp//:239.252.220.143:5140
收视指南,rtp//:239.252.220.144:5140
IPTV碟战剧场,rtp//:239.252.220.145:5140
IPTV相声小品,rtp//:239.252.220.146:5140
IPTV野外,rtp//:239.252.220.73:5140
IPTV法制,rtp//:239.252.220.74:5140
城市剧场,rtp//:239.252.220.75:5140
军旅剧场,rtp//:239.252.220.76:5140
古装剧场,rtp//:239.252.220.77:5140
喜剧影院,rtp//:239.252.220.79:5140
动作影院,rtp//:239.252.220.85:5140
家庭影院,rtp//:239.252.220.86:5140
音乐现场,rtp//:239.252.220.87:5140
