电信,#genre#
昌吉市 HD,rtp://238.125.3.27:5140
吉木萨尔,rtp://238.125.3.28:5140
塔城地区1,rtp://238.125.3.29:5140
塔城地区2,rtp://238.125.3.30:5140
塔城地区3,rtp://238.125.3.31:5140
沙湾1,rtp://238.125.3.32:5140
和田维语,rtp://238.125.3.34:5140
和田汉语,rtp://238.125.3.35:5140
策勒2维语,rtp://238.125.3.36:5140
策勒1汉语,rtp://238.125.3.37:5140
巴州01 HD,rtp://238.125.3.38:5140
巴州02 HD,rtp://238.125.3.39:5140
巴州03 HD,rtp://238.125.3.40:5140
巴州04 HD,rtp://238.125.3.43:5140
阿克陶-1,rtp://238.125.3.45:5140
吉木乃汉语,rtp://238.125.3.46:5140
吉木乃哈语,rtp://238.125.3.48:5140
巴楚1,rtp://238.125.3.49:5140
巴楚2,rtp://238.125.3.50:5140
阜康-1,rtp://238.125.3.51:5140
察布查尔-2,rtp://238.125.3.52:5140
阿勒泰1 720,rtp://238.125.3.54:5140
北屯-1,rtp://238.125.3.55:5140
百视通,rtp://238.125.3.59:5140
百视通,rtp://238.125.3.60:5140
百视通,rtp://238.125.3.61:5140
百视通,rtp://238.125.3.62:5140
百视通,rtp://238.125.3.63:5140
百视通,rtp://238.125.3.64:5140
百视通,rtp://238.125.3.65:5140
百视通,rtp://238.125.3.66:5140
百视通,rtp://238.125.3.67:5140
百视通,rtp://238.125.3.68:5140
百视通,rtp://238.125.3.69:5140
CCTV03,rtp://238.125.3.77:5140
CCTV05,rtp://238.125.3.78:5140
CCTV06,rtp://238.125.3.79:5140
CCTV08,rtp://238.125.3.80:5140
哈密1,rtp://238.125.3.81:5140
哈密2（维语）,rtp://238.125.3.82:5140
哈密3,rtp://238.125.3.83:5140
阿克苏TV-1HD,rtp://238.125.3.84:5140
阿克苏TV-2HD,rtp://238.125.3.85:5140
阿克苏TV-3HD,rtp://238.125.3.86:5140
木垒-1,rtp://238.125.3.87:5140
阿拉尔-1,rtp://238.125.3.88:5140
呼图壁1 HD,rtp://238.125.3.91:5140
CETV-4 HD,rtp://238.125.3.92:5140
内蒙古蒙语,rtp://238.125.3.93:5140
