电信,#genre#
霍尔果斯1 HD,rtp://238.125.3.238:5140
图木舒克1 HD,rtp://238.125.3.239:5140
图木舒克2 HD,rtp://238.125.3.240:5140
且末1,rtp://238.125.3.241:5140
且末2（维语）,rtp://238.125.3.242:5140
九屏测试-5,rtp://238.125.3.243:5140
九屏测试-6,rtp://238.125.3.244:5140
九屏测试-7,rtp://238.125.3.245:5140
奎屯1 HD,rtp://238.125.3.248:5140
奎屯3 HD（哈语）,rtp://238.125.3.250:5140
百视通,rtp://238.125.3.251:5140
塔县1,rtp://238.125.3.252:5140
阿克苏新和2,rtp://238.125.3.253:5140
===++分割线，上下两部分节目一样，但是大部分频道的id不同++===
CETV-2,rtp://238.125.4.101:5140
梨园频道 HD,rtp://238.125.4.103:5140
武术世界 HD,rtp://238.125.4.104:5140
文物宝库 HD,rtp://238.125.4.106:5140
云南卫视,rtp://238.125.4.134:5140
陕西卫视,rtp://238.125.4.135:5140
河北卫视,rtp://238.125.4.136:5140
CCTV09,rtp://238.125.4.139:5140
聚鲨环球精选,rtp://238.125.4.143:5140
党员远程教育 HD,rtp://238.125.4.144:5140
昌吉综合,rtp://238.125.4.145:5140
伊犁01 HD,rtp://238.125.4.147:5140
伊犁02 HD（哈语）,rtp://238.125.4.148:5140
伊犁03 HD（维语）,rtp://238.125.4.149:5140
伊犁04 HD,rtp://238.125.4.150:5140
农林卫视,rtp://238.125.4.154:5140
山东教育卫视,rtp://238.125.4.156:5140
2.5M-纪实频道,rtp://238.125.4.157:5140
优漫卡通,rtp://238.125.4.159:5140
2.5M-娱乐频道,rtp://238.125.4.183:5140
优购物,rtp://238.125.4.184:5140
吐鲁番远教 HD,rtp://238.125.4.190:5140
巩留1 HD,rtp://238.125.4.194:5140
巩留1 HD,rtp://238.125.4.195:5140
CCTV14高清,rtp://238.125.4.198:5140
乌鲁木齐1,rtp://238.125.4.200:5140
乌鲁木齐3,rtp://238.125.4.203:5140
XJTV09,rtp://238.125.4.204:5140
XJTV04,rtp://238.125.4.205:5140
CMMB1,rtp://238.125.4.206:5140
乌鲁木齐6,rtp://238.125.4.207:5140
XJTV05,rtp://238.125.4.210:5140
XJTV02,rtp://238.125.4.211:5140
XJTV03,rtp://238.125.4.212:5140
XJTV08,rtp://238.125.4.213:5140
乌鲁木齐2,rtp://238.125.4.216:5140
乌鲁木齐4,rtp://238.125.4.217:5140
XJTV12,rtp://238.125.4.219:5140
XJTV11,rtp://238.125.4.222:5140
XJTV10,rtp://238.125.4.223:5140
XJTV07,rtp://238.125.4.224:5140
XJTV06,rtp://238.125.4.225:5140
卡酷少儿,rtp://238.125.4.226:5140
轮播,rtp://238.125.4.228:5140
CMMB5,rtp://238.125.4.229:5140
CMMB7,rtp://238.125.4.231:5140
CMMB6,rtp://238.125.4.232:5140
克州1 HD,rtp://238.125.4.240:5140
克州2 HD（克尔克孜语）,rtp://238.125.4.241:5140
克州3 HD（维语）,rtp://238.125.4.242:5140
阿图什1,rtp://238.125.4.243:5140
阿图什2,rtp://238.125.4.244:5140
克拉玛依-1,rtp://238.125.4.247:5140
克拉玛依-2（汉维双语）,rtp://238.125.4.248:5140
克拉玛依-3,rtp://238.125.4.249:5140
克拉玛依-4,rtp://238.125.4.250:5140
克拉玛依-5,rtp://238.125.4.251:5140
CCTV17,rtp://238.125.4.254:5140
茶频道 HD,rtp://238.125.5.101:5140
先锋乒羽,rtp://238.125.5.102:5140
快乐垂钓 HD,rtp://238.125.5.103:5140
金鹰卡通 HD,rtp://238.125.5.104:5140
广西高清,rtp://238.125.5.105:5140
8M-HD-哈哈炫动,rtp://238.125.5.106:5140
卡酷卡通 HD,rtp://238.125.5.107:5140
求索记录 HD,rtp://238.125.5.108:5140
安徽人物频道 HD（？）,rtp://238.125.5.109:5140
精彩影视 HD,rtp://238.125.5.110:5140
三沙卫视,rtp://238.125.5.111:5140
生活时尚HD,rtp://238.125.5.113:5140
三沙高清,rtp://238.125.5.114:5140
金色频道HD,rtp://238.125.5.115:5140
8MHD-法治天地-4-2,rtp://238.125.5.116:5140
CCTV-16 4K,rtp://238.125.5.120:5140
陕西高清,rtp://238.125.5.121:5140
欢笑剧场4K,rtp://238.125.5.122:5140
东方购物3越剧HD,rtp://238.125.5.123:5140
魅力足球HD,rtp://238.125.5.124:5140
叶城1,rtp://238.125.6.169:5140
叶城2,rtp://238.125.6.170:5140
河南高清,rtp://238.125.6.171:5140
阿瓦提综合,rtp://238.125.6.173:5140
阿克苏市2,rtp://238.125.7.102:5140
吉林高清,rtp://238.125.7.103:5140
阿克苏市1,rtp://238.125.7.104:5140
江西高清,rtp://238.125.7.106:5140
拜城1,rtp://238.125.7.107:5140
拜城2（维语）,rtp://238.125.7.108:5140
十二师1,rtp://238.125.7.114:5140
和静1,rtp://238.125.7.119:5140
塔里木1 HD,rtp://238.125.7.120:5140
塔里木2 HD,rtp://238.125.7.121:5140
泽普1,rtp://238.125.7.124:5140
泽普2,rtp://238.125.7.125:5140
于田1,rtp://238.125.7.128:5140
于田2,rtp://238.125.7.129:5140
乌什1,rtp://238.125.7.130:5140
乌什2,rtp://238.125.7.131:5140
阿勒泰2,rtp://238.125.7.134:5140
富蕴汉语,rtp://238.125.7.136:5140
富蕴哈语,rtp://238.125.7.137:5140
五师TV-1,rtp://238.125.7.138:5140
五师TV-2,rtp://238.125.7.139:5140
湖南快乐购,rtp://238.125.7.140:5140
五家渠新闻 HD,rtp://238.125.7.141:5140
五家渠经济生活 HD,rtp://238.125.7.142:5140
五家渠广告 HD,rtp://238.125.7.144:5140
XJTV1HD,rtp://238.125.7.145:5140
XJTV2HD,rtp://238.125.7.146:5140
XJTV3HD,rtp://238.125.7.147:5140
XJTV4HD,rtp://238.125.7.148:5140
XJTV5HD,rtp://238.125.7.149:5140
XJTV6HD,rtp://238.125.7.150:5140
XJTV7HD,rtp://238.125.7.151:5140
XJTV8HD,rtp://238.125.7.152:5140
XJTV9HD,rtp://238.125.7.153:5140
XJTV10HD,rtp://238.125.7.154:5140
XJTV11HD,rtp://238.125.7.155:5140
XJTV12HD,rtp://238.125.7.156:5140
伊宁新闻,rtp://238.125.7.157:5140
伊宁维吾尔,rtp://238.125.7.158:5140
塔城市,rtp://238.125.7.159:5140
麦盖提1,rtp://238.125.7.160:5140
麦盖提2,rtp://238.125.7.161:5140
温宿1,rtp://238.125.7.162:5140
温宿2,rtp://238.125.7.163:5140
可克达拉 HD,rtp://238.125.7.164:5140
尼勒克1,rtp://238.125.7.169:5140
尼勒克2,rtp://238.125.7.170:5140
昭苏1 HD,rtp://238.125.7.171:5140
昭苏2 HD,rtp://238.125.7.172:5140
若羌电视台-1,rtp://238.125.7.173:5140
伊宁县1 HD,rtp://238.125.7.174:5140
伊宁县2（维语） HD,rtp://238.125.7.175:5140
新源2（哈语）,rtp://238.125.7.178:5140
新源1,rtp://238.125.7.179:5140
霍尔果斯1 HD,rtp://238.125.7.180:5140
图木舒克1 HD,rtp://238.125.7.181:5140
图木舒克2 HD,rtp://238.125.7.182:5140
且末1,rtp://238.125.7.183:5140
且末2（维语）,rtp://238.125.7.184:5140
奎屯1 HD,rtp://238.125.7.185:5140
奎屯3 HD（哈语）,rtp://238.125.7.187:5140
塔县1,rtp://238.125.7.188:5140
阿克苏新和2,rtp://238.125.7.189:5140
阿克苏新和1 HD,rtp://238.125.7.190:5140
英吉沙1,rtp://238.125.7.191:5140
英吉沙2 HD,rtp://238.125.7.192:5140
岳普湖1 HD,rtp://238.125.7.193:5140
岳普湖2 HD,rtp://238.125.7.194:5140
塔县2,rtp://238.125.7.195:5140
伊吾1,rtp://238.125.7.196:5140
特克斯2,rtp://238.125.7.198:5140
特克斯1,rtp://238.125.7.199:5140
乌鲁木齐1高清,rtp://238.125.7.200:5140
乌鲁木齐2高清,rtp://238.125.7.201:5140
乌鲁木齐3高清,rtp://238.125.7.202:5140
乌鲁木齐4高清,rtp://238.125.7.203:5140
乌鲁木齐6高清,rtp://238.125.7.205:5140
疏勒1 HD,rtp://238.125.7.208:5140
疏勒2 HD,rtp://238.125.7.209:5140
疏附1,rtp://238.125.7.216:5140
疏附2,rtp://238.125.7.217:5140
和田洛浦1 HD,rtp://238.125.7.218:5140
洛浦2 HD,rtp://238.125.7.219:5140
哈密巴里坤1 HD,rtp://238.125.7.220:5140
哈密巴里坤2 HD,rtp://238.125.7.221:5140
福海1 HD,rtp://238.125.7.222:5140
福海2 HD,rtp://238.125.7.223:5140
布尔津县02 HD,rtp://238.125.7.225:5140
青河2 HD,rtp://238.125.7.226:5140
青河2 HD,rtp://238.125.7.227:5140
农7师,rtp://238.125.7.228:5140
